team,region,country,track,status,year,url
HUBU-Wuhan,Asia,China,Energy,Accepted,2018,https://2018.igem.org/Team:HUBU-Wuhan/Description
HUBU-WUHAN,Asia,China,Energy,Accepted,2019,https://2019.igem.org/Team:HUBU-WUHAN/Description
Humboldt_Berlin,Europe,Germany,Environment,Accepted,2019,https://2019.igem.org/Team:Humboldt_Berlin/Description
HUNGENIOUS,Europe,Hungary,Health & Medicine(P),Accepted,2014,https://2014.igem.org/Team:HUNGENIOUS/Description
Hunter-NYC,North America,United States,Environment,Accepted,2011,https://2011.igem.org/Team:Hunter-NYC/Description
HUST-China,Asia,China,Software Tools,Accepted,2011,https://2011.igem.org/Team:HUST-China/Description
HUST-China,Asia,China,Food & Energy,Accepted,2012,https://2012.igem.org/Team:HUST-China/Description
HUST-China,Asia,China,Health & Medicine,Accepted,2013,https://2013.igem.org/Team:HUST-China/Description
HUST-China,Asia,China,Environment,Accepted,2014,https://2014.igem.org/Team:HUST-China/Description
HUST-China,Asia,China,Environment,Accepted,2015,https://2015.igem.org/Team:HUST-China/Description
HUST-China,Asia,China,Foundational Advance,Accepted,2016,https://2016.igem.org/Team:HUST-China/Description
HUST-China,Asia,China,Environment,Accepted,2017,https://2017.igem.org/Team:HUST-China/Description
HUST-China,Asia,China,Energy,Accepted,2018,https://2018.igem.org/Team:HUST-China/Description
HUST-China,Asia,China,Manufacturing,Accepted,2019,https://2019.igem.org/Team:HUST-China/Description
HUST-Innovators,Asia,China,New Application,Accepted,2014,https://2014.igem.org/Team:HUST-Innovators/Description
HZAU-China,Asia,China,Health & Medicine,Accepted,2013,https://2013.igem.org/Team:HZAU-China/Description
HZAU-China,Asia,China,Information Processing,Accepted,2014,https://2014.igem.org/Team:HZAU-China/Description
HZAU-China,Asia,China,Information Processing,Accepted,2015,https://2015.igem.org/Team:HZAU-China/Description
HZAU-China,Asia,China,Information Processing,Accepted,2016,https://2016.igem.org/Team:HZAU-China/Description
HZAU-China,Asia,China,Foundational Advance,Accepted,2017,https://2017.igem.org/Team:HZAU-China/Description
HZAU-China,Asia,China,Therapeutics,Accepted,2018,https://2018.igem.org/Team:HZAU-China/Description
HZAU-China,Asia,China,New Application,Accepted,2019,https://2019.igem.org/Team:HZAU-China/Description
HZNFHS_Hangzhou,Asia,China,High School,Accepted,2019,https://2019.igem.org/Team:HZNFHS_Hangzhou/Description
IBB_Pune,Asia,India,Information Processing,Accepted,2009,https://2009.igem.org/Team:IBB_Pune/Description
iBowu-China,Asia,China,High School,Accepted,2019,https://2019.igem.org/Team:iBowu-China/Description
ICT-Mumbai,Asia,India,Environment,Accepted,2017,https://2017.igem.org/Team:ICT-Mumbai/Description
ICT-Mumbai,Asia,India,Environment,Accepted,2018,https://2018.igem.org/Team:ICT-Mumbai/Description
iHKU,Asia,Hong Kong,,Accepted,2008,https://2008.igem.org/Team:iHKU/Description
IISc-Bangalore,Asia,India,New Application,Accepted,2017,https://2017.igem.org/Team:IISc-Bangalore/Description
IISc-Bangalore,Asia,India,Therapeutics,Accepted,2018,https://2018.igem.org/Team:IISc-Bangalore/Description
IISc-Bangalore,Asia,India,New Application,Accepted,2019,https://2019.igem.org/Team:IISc-Bangalore/Description
IISc_Bangalore,Asia,India,Manufacturing,Accepted,2016,https://2016.igem.org/Team:IISc_Bangalore/Description
IISER-Bhopal-India,Asia,India,Environment,Accepted,2018,https://2018.igem.org/Team:IISER-Bhopal-India/Description
IISER-Kolkata,Asia,India,Therapeutics,Accepted,2018,https://2018.igem.org/Team:IISER-Kolkata/Description
IISER-Mohali,Asia,India,Food & Nutrition,Accepted,2018,https://2018.igem.org/Team:IISER-Mohali/Description
IISER-Mohali-INDIA,Asia,India,Environment,Accepted,2017,https://2017.igem.org/Team:IISER-Mohali-INDIA/Description
IISER-Pune-India,Asia,India,Diagnostics,Accepted,2017,https://2017.igem.org/Team:IISER-Pune-India/Description
IISER-Pune-India,Asia,India,Foundational Advance,Accepted,2019,https://2019.igem.org/Team:IISER-Pune-India/Description
IISER_Bhopal,Asia,India,New Application,Accepted,2019,https://2019.igem.org/Team:IISER_Bhopal/Description
